source,NR,WR,SR,ER,NER,All India,date
Hydro,181.0,57.0,78.0,48.0,4.0,368,2020-04-18
"RES (Wind, Solar, Biomass & Others)",78.0,99.0,135.0,5.0,0.0,317,2020-04-19
"Gas, Naptha & Diesel",23.0,65.0,20.0,0.0,28.0,136,2020-04-19
Nuclear,24.0,37.0,51.0,0.0,0.0,112,2020-04-19
Hydro,187.0,38.0,66.0,70.0,6.0,366,2020-04-19
Coal,332.0,859.0,359.0,373.0,7.0,1931,2020-04-19
Lignite,21.0,12.0,40.0,0.0,0.0,73,2020-04-19
Total,665.0,1110.0,672.0,448.0,41.0,2935,2020-04-19
Coal,324.0,873.0,365.0,368.0,7.0,1937,2020-04-20
Lignite,17.0,11.0,42.0,0.0,0.0,70,2020-04-20
Hydro,175.0,37.0,66.0,71.0,8.0,357,2020-04-20
Nuclear,27.0,36.0,51.0,0.0,0.0,115,2020-04-20
"Gas, Naptha & Diesel",23.0,57.0,20.0,0.0,26.0,127,2020-04-20
"RES (Wind, Solar, Biomass & Others)",80.0,104.0,145.0,5.0,0.0,333,2020-04-20
Total,647.0,1118.0,690.0,443.0,41.0,2940,2020-04-20
Lignite,20.0,11.0,43.0,0.0,0.0,73,2020-04-21
Total,630.0,1118.0,692.0,400.0,38.0,2877,2020-04-21
"RES (Wind, Solar, Biomass & Others)",77.0,85.0,131.0,5.0,0.0,297,2020-04-21
"Gas, Naptha & Diesel",23.0,62.0,20.0,0.0,25.0,129,2020-04-21
Nuclear,28.0,37.0,51.0,0.0,0.0,116,2020-04-21
Hydro,166.0,43.0,71.0,56.0,6.0,342,2020-04-21
Coal,318.0,880.0,375.0,339.0,7.0,1919,2020-04-21
Coal,322.0,895.0,382.0,358.0,8.0,1964,2020-04-23
Total,640.0,1185.0,703.0,419.0,36.0,2983,2020-04-23
"RES (Wind, Solar, Biomass & Others)",76.0,125.0,146.0,5.0,0.0,352,2020-04-23
"Gas, Naptha & Diesel",23.0,46.0,20.0,0.0,22.0,111,2020-04-23
Nuclear,28.0,37.0,51.0,0.0,0.0,115,2020-04-23
Hydro,171.0,70.0,65.0,56.0,6.0,369,2020-04-23
Lignite,20.0,12.0,39.0,0.0,0.0,72,2020-04-23
Lignite,24.0,12.0,37.0,0.0,0.0,73,2020-04-24
Hydro,180.0,62.0,57.0,56.0,7.0,361,2020-04-24
Nuclear,28.0,36.0,51.0,0.0,0.0,115,2020-04-24
"Gas, Naptha & Diesel",23.0,50.0,20.0,0.0,25.0,118,2020-04-24
"RES (Wind, Solar, Biomass & Others)",73.0,145.0,156.0,5.0,3.0,381,2020-04-24
Total,646.0,1196.0,696.0,413.0,42.0,2993,2020-04-24
Coal,319.0,890.0,375.0,353.0,7.0,1944,2020-04-24
"RES (Wind, Solar, Biomass & Others)",84.0,151.0,169.0,4.0,3.0,411,2020-04-25
Total,668.0,1163.0,684.0,414.0,45.0,2975,2020-04-25
"Gas, Naptha & Diesel",23.0,52.0,20.0,0.0,25.0,121,2020-04-25
Nuclear,28.0,36.0,51.0,0.0,0.0,115,2020-04-25
Hydro,188.0,56.0,61.0,58.0,10.0,373,2020-04-25
Lignite,20.0,14.0,37.0,0.0,0.0,71,2020-04-25
Coal,325.0,854.0,346.0,351.0,7.0,1883,2020-04-25
Total,642.0,1102.0,636.0,392.0,41.0,2813,2020-04-26
"RES (Wind, Solar, Biomass & Others)",77.0,101.0,137.0,5.0,0.0,320,2020-04-26
"Gas, Naptha & Diesel",23.0,63.0,20.0,0.0,26.0,132,2020-04-26
Nuclear,28.0,37.0,51.0,0.0,0.0,115,2020-04-26
Hydro,198.0,50.0,57.0,50.0,9.0,363,2020-04-26
Lignite,18.0,13.0,38.0,0.0,0.0,70,2020-04-26
Coal,297.0,839.0,332.0,337.0,7.0,1812,2020-04-26
Nuclear,24.0,36.0,51.0,0.0,0.0,112,2020-04-27
Total,631.0,1088.0,660.0,381.0,41.0,2801,2020-04-27
"Gas, Naptha & Diesel",20.0,63.0,20.0,0.0,28.0,132,2020-04-27
"RES (Wind, Solar, Biomass & Others)",82.0,94.0,162.0,5.0,0.0,343,2020-04-27
Coal,285.0,837.0,323.0,322.0,7.0,1773,2020-04-27
Lignite,17.0,13.0,37.0,0.0,0.0,68,2020-04-27
Hydro,202.0,44.0,68.0,54.0,5.0,374,2020-04-27
"Gas, Naptha & Diesel",23.0,57.0,21.0,0.0,28.0,129,2020-04-29
Nuclear,28.0,36.0,51.0,0.0,0.0,115,2020-04-29
Hydro,222.0,50.0,65.0,63.0,6.0,407,2020-04-29
Lignite,19.0,16.0,37.0,0.0,0.0,73,2020-04-29
Coal,307.0,929.0,333.0,343.0,7.0,1918,2020-04-29
"RES (Wind, Solar, Biomass & Others)",93.0,77.0,110.0,5.0,0.0,285,2020-04-29
Total,692.0,1166.0,616.0,410.0,41.0,2925,2020-04-29
Hydro,233.0,34.0,64.0,68.0,7.0,406,2020-04-30
Lignite,22.0,15.0,38.0,0.0,0.0,76,2020-04-30
Coal,327.0,936.0,346.0,374.0,7.0,1989,2020-04-30
Nuclear,27.0,36.0,44.0,0.0,0.0,108,2020-04-30
"Gas, Naptha & Diesel",23.0,62.0,20.0,0.0,28.0,133,2020-04-30
"RES (Wind, Solar, Biomass & Others)",90.0,87.0,138.0,5.0,0.0,320,2020-04-30
Total,722.0,1171.0,651.0,447.0,42.0,3033,2020-04-30
Total,731.0,1164.0,644.0,422.0,44.0,3005,2020-05-01
"RES (Wind, Solar, Biomass & Others)",110.0,112.0,147.0,5.0,0.0,374,2020-05-01
"Gas, Naptha & Diesel",25.0,68.0,20.0,0.0,29.0,142,2020-05-01
Nuclear,28.0,36.0,39.0,0.0,0.0,103,2020-05-01
Hydro,237.0,34.0,69.0,65.0,7.0,412,2020-05-01
Lignite,25.0,13.0,37.0,0.0,0.0,75,2020-05-01
Coal,308.0,900.0,332.0,352.0,7.0,1899,2020-05-01
"Gas, Naptha & Diesel",23.0,59.0,21.0,0.0,29.0,133,2020-05-02
Nuclear,28.0,36.0,37.0,0.0,0.0,101,2020-05-02
Hydro,246.0,50.0,75.0,72.0,7.0,450,2020-05-02
Lignite,25.0,13.0,35.0,0.0,0.0,73,2020-05-02
Coal,333.0,916.0,334.0,347.0,7.0,1936,2020-05-02
Total,758.0,1209.0,646.0,424.0,43.0,3079,2020-05-02
"RES (Wind, Solar, Biomass & Others)",103.0,134.0,144.0,5.0,0.0,386,2020-05-02
"Gas, Naptha & Diesel",23.0,59.0,21.0,0.0,29.0,132,2020-05-03
Nuclear,27.0,37.0,43.0,0.0,0.0,107,2020-05-03
Hydro,247.0,42.0,81.0,74.0,6.0,452,2020-05-03
Coal,321.0,903.0,326.0,336.0,7.0,1891,2020-05-03
Total,734.0,1190.0,651.0,415.0,42.0,3032,2020-05-03
Lignite,25.0,13.0,38.0,0.0,0.0,76,2020-05-03
"RES (Wind, Solar, Biomass & Others)",90.0,136.0,142.0,5.0,0.0,373,2020-05-03
"RES (Wind, Solar, Biomass & Others)",75.0,132.0,143.0,5.0,0.0,355,2020-05-04
Total,693.0,1211.0,686.0,438.0,42.0,3071,2020-05-04
Coal,292.0,931.0,344.0,359.0,7.0,1933,2020-05-04
Lignite,24.0,13.0,41.0,0.0,0.0,78,2020-05-04
Hydro,250.0,37.0,87.0,74.0,6.0,454,2020-05-04
Nuclear,28.0,36.0,51.0,0.0,0.0,115,2020-05-04
"Gas, Naptha & Diesel",24.0,62.0,21.0,0.0,29.0,136,2020-05-04
Total,681.0,1252.0,708.0,454.0,40.0,3135,2020-05-06
Coal,301.0,965.0,365.0,370.0,7.0,2007,2020-05-06
Lignite,20.0,14.0,38.0,0.0,0.0,72,2020-05-06
"Gas, Naptha & Diesel",24.0,69.0,20.0,0.0,27.0,140,2020-05-06
Nuclear,28.0,36.0,51.0,0.0,0.0,115,2020-05-06
"RES (Wind, Solar, Biomass & Others)",79.0,112.0,153.0,5.0,0.0,349,2020-05-06
Hydro,230.0,55.0,81.0,80.0,7.0,453,2020-05-06
Coal,303.0,988.0,369.0,383.0,7.0,2050,2020-05-07
Lignite,22.0,16.0,37.0,0.0,0.0,75,2020-05-07
Hydro,236.0,41.0,84.0,75.0,6.0,443,2020-05-07
Nuclear,28.0,36.0,52.0,0.0,0.0,116,2020-05-07
"Gas, Naptha & Diesel",24.0,72.0,19.0,0.0,24.0,139,2020-05-07
"RES (Wind, Solar, Biomass & Others)",78.0,109.0,145.0,5.0,0.0,337,2020-05-07
Total,691.0,1262.0,706.0,462.0,37.0,3158,2020-05-07
"RES (Wind, Solar, Biomass & Others)",83.0,110.0,133.0,5.0,0.0,331,2020-05-08
"Gas, Naptha & Diesel",27.0,74.0,21.0,0.0,27.0,148,2020-05-08
Nuclear,27.0,36.0,51.0,0.0,0.0,115,2020-05-08
Hydro,236.0,42.0,87.0,74.0,5.0,445,2020-05-08
Lignite,22.0,16.0,31.0,0.0,0.0,68,2020-05-08
Coal,339.0,1013.0,401.0,417.0,10.0,2179,2020-05-08
Total,734.0,1290.0,723.0,496.0,42.0,3285,2020-05-08
Lignite,21.0,16.0,33.0,0.0,0.0,70,2020-05-09
Coal,338.0,1038.0,417.0,440.0,11.0,2244,2020-05-09
Hydro,243.0,54.0,89.0,77.0,6.0,469,2020-05-09
Nuclear,26.0,34.0,51.0,0.0,0.0,111,2020-05-09
"Gas, Naptha & Diesel",29.0,76.0,18.0,0.0,29.0,153,2020-05-09
"RES (Wind, Solar, Biomass & Others)",93.0,103.0,133.0,5.0,0.0,335,2020-05-09
Total,750.0,1321.0,742.0,522.0,46.0,3382,2020-05-09
Lignite,22.0,15.0,33.0,0.0,0.0,70,2020-05-10
Coal,307.0,975.0,389.0,384.0,10.0,2064,2020-05-10
Hydro,240.0,45.0,73.0,66.0,5.0,428,2020-05-10
Nuclear,23.0,33.0,51.0,0.0,0.0,106,2020-05-10
"Gas, Naptha & Diesel",32.0,74.0,19.0,0.0,29.0,154,2020-05-10
"RES (Wind, Solar, Biomass & Others)",87.0,106.0,135.0,5.0,0.0,332,2020-05-10
Total,709.0,1247.0,699.0,454.0,44.0,3154,2020-05-10
Total,669.0,1252.0,722.0,441.0,45.0,3129,2020-05-11
"RES (Wind, Solar, Biomass & Others)",85.0,102.0,132.0,5.0,0.0,324,2020-05-11
"Gas, Naptha & Diesel",28.0,74.0,20.0,0.0,30.0,152,2020-05-11
Nuclear,22.0,33.0,51.0,0.0,0.0,106,2020-05-11
Hydro,245.0,38.0,79.0,66.0,5.0,432,2020-05-11
Coal,266.0,991.0,406.0,370.0,10.0,2042,2020-05-11
Lignite,22.0,15.0,35.0,0.0,0.0,73,2020-05-11
Hydro,256.0,49.0,82.0,67.0,6.0,461,2020-05-13
Lignite,24.0,15.0,39.0,0.0,0.0,78,2020-05-13
Coal,319.0,1061.0,443.0,450.0,10.0,2283,2020-05-13
Total,747.0,1319.0,767.0,522.0,45.0,3401,2020-05-13
Nuclear,27.0,33.0,50.0,0.0,0.0,110,2020-05-13
"RES (Wind, Solar, Biomass & Others)",90.0,92.0,133.0,5.0,0.0,319,2020-05-13
"Gas, Naptha & Diesel",32.0,70.0,20.0,0.0,29.0,151,2020-05-13
Total,797.0,1333.0,780.0,520.0,43.0,3474,2020-05-15
Nuclear,28.0,33.0,44.0,0.0,0.0,105,2020-05-15
Hydro,273.0,33.0,68.0,68.0,7.0,449,2020-05-15
Lignite,23.0,16.0,40.0,0.0,0.0,79,2020-05-15
Coal,358.0,1087.0,447.0,447.0,7.0,2347,2020-05-15
"RES (Wind, Solar, Biomass & Others)",83.0,84.0,162.0,5.0,0.0,334,2020-05-15
"Gas, Naptha & Diesel",32.0,81.0,18.0,0.0,29.0,160,2020-05-15
Nuclear,27.0,33.0,47.0,0.0,0.0,107,2020-05-16
Total,803.0,1340.0,765.0,544.0,47.0,3500,2020-05-16
"Gas, Naptha & Diesel",34.0,78.0,18.0,0.0,30.0,161,2020-05-16
Hydro,277.0,35.0,80.0,79.0,10.0,482,2020-05-16
Lignite,24.0,16.0,32.0,0.0,0.0,72,2020-05-16
Coal,368.0,1075.0,429.0,460.0,7.0,2339,2020-05-16
"RES (Wind, Solar, Biomass & Others)",73.0,103.0,158.0,5.0,0.0,339,2020-05-16
Coal,368.0,1025.0,410.0,435.0,7.0,2245,2020-05-17
Lignite,22.0,15.0,31.0,0.0,0.0,68,2020-05-17
Nuclear,27.0,33.0,47.0,0.0,0.0,107,2020-05-17
"Gas, Naptha & Diesel",34.0,74.0,18.0,0.0,28.0,154,2020-05-17
"RES (Wind, Solar, Biomass & Others)",82.0,124.0,165.0,5.0,0.0,376,2020-05-17
Total,810.0,1311.0,742.0,523.0,47.0,3433,2020-05-17
Hydro,276.0,40.0,71.0,83.0,12.0,482,2020-05-17
"RES (Wind, Solar, Biomass & Others)",76.0,121.0,212.0,5.0,0.0,414,2020-05-18
Lignite,22.0,15.0,33.0,0.0,0.0,70,2020-05-18
Coal,378.0,1044.0,379.0,444.0,7.0,2252,2020-05-18
Hydro,274.0,47.0,51.0,89.0,8.0,470,2020-05-18
"Gas, Naptha & Diesel",33.0,86.0,19.0,0.0,31.0,169,2020-05-18
Nuclear,28.0,33.0,47.0,0.0,0.0,108,2020-05-18
Total,811.0,1346.0,740.0,538.0,45.0,3481,2020-05-18
Total,817.0,1333.0,763.0,539.0,44.0,3497,2020-05-19
Coal,383.0,1056.0,332.0,440.0,6.0,2217,2020-05-19
Lignite,22.0,15.0,31.0,0.0,0.0,68,2020-05-19
Hydro,269.0,34.0,61.0,95.0,8.0,466,2020-05-19
Nuclear,28.0,33.0,47.0,0.0,0.0,107,2020-05-19
"Gas, Naptha & Diesel",33.0,80.0,19.0,0.0,30.0,162,2020-05-19
"RES (Wind, Solar, Biomass & Others)",83.0,115.0,273.0,4.0,0.0,475,2020-05-19
Hydro,245.0,38.0,76.0,79.0,10.0,447,2020-05-20
"RES (Wind, Solar, Biomass & Others)",80.0,125.0,302.0,4.0,0.0,511,2020-05-20
Total,807.0,1369.0,794.0,436.0,48.0,3453,2020-05-20
Lignite,23.0,15.0,34.0,0.0,0.0,72,2020-05-20
Coal,398.0,1083.0,316.0,353.0,7.0,2157,2020-05-20
Nuclear,28.0,34.0,48.0,0.0,0.0,109,2020-05-20
"Gas, Naptha & Diesel",33.0,74.0,19.0,0.0,31.0,157,2020-05-20
"RES (Wind, Solar, Biomass & Others)",91.0,145.0,268.0,4.0,0.0,508,2020-05-21
Lignite,25.0,15.0,36.0,0.0,0.0,76,2020-05-21
Hydro,246.0,44.0,86.0,121.0,13.0,509,2020-05-21
Nuclear,27.0,36.0,37.0,0.0,0.0,99,2020-05-21
"Gas, Naptha & Diesel",33.0,78.0,18.0,0.0,25.0,154,2020-05-21
Total,813.0,1411.0,778.0,463.0,42.0,3508,2020-05-21
Coal,391.0,1094.0,332.0,338.0,5.0,2161,2020-05-21
Nuclear,27.0,36.0,28.0,0.0,0.0,91,2020-05-23
Hydro,295.0,44.0,99.0,136.0,19.0,593,2020-05-23
Lignite,27.0,16.0,43.0,0.0,0.0,86,2020-05-23
Total,922.0,1433.0,814.0,544.0,53.0,3766,2020-05-23
Coal,454.0,1101.0,398.0,403.0,4.0,2360,2020-05-23
"Gas, Naptha & Diesel",36.0,75.0,18.0,0.0,30.0,159,2020-05-23
"RES (Wind, Solar, Biomass & Others)",83.0,161.0,229.0,5.0,0.0,477,2020-05-23
"Gas, Naptha & Diesel",36.0,66.0,18.0,0.0,29.0,150,2020-05-24
Hydro,305.0,49.0,74.0,132.0,17.0,576,2020-05-24
Lignite,25.0,15.0,41.0,0.0,0.0,81,2020-05-24
Coal,469.0,1104.0,415.0,413.0,3.0,2404,2020-05-24
"RES (Wind, Solar, Biomass & Others)",80.0,148.0,244.0,5.0,0.0,476,2020-05-24
Nuclear,27.0,36.0,27.0,0.0,0.0,91,2020-05-24
Total,943.0,1417.0,819.0,550.0,49.0,3778,2020-05-24
"Gas, Naptha & Diesel",37.0,69.0,18.0,0.0,28.0,152,2020-05-25
Total,958.0,1448.0,832.0,545.0,50.0,3833,2020-05-25
Lignite,23.0,14.0,45.0,0.0,0.0,81,2020-05-25
Hydro,296.0,52.0,87.0,132.0,18.0,585,2020-05-25
Nuclear,27.0,37.0,30.0,0.0,0.0,93,2020-05-25
Coal,478.0,1116.0,444.0,409.0,3.0,2450,2020-05-25
"RES (Wind, Solar, Biomass & Others)",96.0,161.0,209.0,5.0,0.0,472,2020-05-25
Total,971.0,1460.0,842.0,554.0,45.0,3872,2020-05-26
Coal,474.0,1127.0,452.0,425.0,0.0,2477,2020-05-26
Lignite,20.0,13.0,45.0,0.0,0.0,78,2020-05-26
"RES (Wind, Solar, Biomass & Others)",113.0,182.0,213.0,5.0,0.0,513,2020-05-26
"Gas, Naptha & Diesel",37.0,65.0,16.0,0.0,26.0,145,2020-05-26
Nuclear,27.0,36.0,39.0,0.0,0.0,102,2020-05-26
Hydro,302.0,36.0,77.0,124.0,18.0,557,2020-05-26
"RES (Wind, Solar, Biomass & Others)",122.0,228.0,222.0,5.0,0.0,576,2020-05-28
Hydro,289.0,21.0,72.0,99.0,23.0,503,2020-05-28
Total,901.0,1360.0,827.0,463.0,52.0,3603,2020-05-28
Nuclear,27.0,36.0,55.0,0.0,0.0,118,2020-05-28
Lignite,19.0,16.0,39.0,0.0,0.0,73,2020-05-28
Coal,411.0,999.0,424.0,358.0,2.0,2194,2020-05-28
"Gas, Naptha & Diesel",34.0,61.0,16.0,0.0,27.0,138,2020-05-28
Coal,361.0,1000.0,427.0,409.0,8.0,2206,2020-05-30
Lignite,20.0,16.0,39.0,0.0,0.0,74,2020-05-30
Total,804.0,1330.0,788.0,511.0,53.0,3486,2020-05-30
"RES (Wind, Solar, Biomass & Others)",84.0,162.0,170.0,5.0,0.0,421,2020-05-30
Hydro,286.0,34.0,81.0,97.0,17.0,515,2020-05-30
Nuclear,27.0,36.0,54.0,0.0,0.0,118,2020-05-30
"Gas, Naptha & Diesel",27.0,80.0,17.0,0.0,28.0,152,2020-05-30
"RES (Wind, Solar, Biomass & Others)",85.0,108.0,156.0,5.0,0.0,353,2020-05-31
Coal,321.0,953.0,419.0,375.0,11.0,2079,2020-05-31
Lignite,18.0,16.0,37.0,0.0,0.0,71,2020-05-31
Hydro,287.0,37.0,70.0,96.0,19.0,508,2020-05-31
Nuclear,28.0,36.0,46.0,0.0,0.0,110,2020-05-31
"Gas, Naptha & Diesel",27.0,81.0,17.0,0.0,27.0,152,2020-05-31
Total,765.0,1232.0,745.0,476.0,57.0,3274,2020-05-31
"Gas, Naptha & Diesel",27.0,82.0,17.0,0.0,27.0,152,2020-06-01
Lignite,19.0,14.0,37.0,0.0,0.0,69,2020-06-01
Hydro,290.0,41.0,76.0,102.0,17.0,526,2020-06-01
"RES (Wind, Solar, Biomass & Others)",77.0,81.0,161.0,5.0,0.0,324,2020-06-01
Coal,353.0,964.0,409.0,418.0,10.0,2155,2020-06-01
Nuclear,27.0,36.0,47.0,0.0,0.0,110,2020-06-01
Total,793.0,1218.0,747.0,526.0,54.0,3337,2020-06-01
Total,795.0,1234.0,752.0,514.0,54.0,3348,2020-06-02
Coal,357.0,985.0,400.0,408.0,9.0,2160,2020-06-02
Nuclear,27.0,36.0,47.0,0.0,0.0,111,2020-06-02
Lignite,20.0,12.0,33.0,0.0,0.0,66,2020-06-02
Hydro,280.0,42.0,59.0,102.0,16.0,498,2020-06-02
"Gas, Naptha & Diesel",28.0,80.0,16.0,0.0,28.0,151,2020-06-02
"RES (Wind, Solar, Biomass & Others)",83.0,78.0,197.0,5.0,0.0,362,2020-06-02
Coal,369.0,937.0,390.0,414.0,10.0,2119,2020-06-03
Lignite,24.0,12.0,33.0,0.0,0.0,69,2020-06-03
Hydro,279.0,38.0,58.0,105.0,16.0,497,2020-06-03
Nuclear,27.0,36.0,46.0,0.0,0.0,109,2020-06-03
"Gas, Naptha & Diesel",28.0,74.0,16.0,0.0,27.0,144,2020-06-03
"RES (Wind, Solar, Biomass & Others)",65.0,87.0,198.0,5.0,0.0,355,2020-06-03
Total,792.0,1185.0,740.0,524.0,53.0,3293,2020-06-03
"Gas, Naptha & Diesel",28.0,69.0,18.0,0.0,24.0,139,2020-06-04
Total,772.0,1135.0,766.0,538.0,54.0,3265,2020-06-04
Coal,357.0,885.0,371.0,431.0,9.0,2053,2020-06-04
Lignite,23.0,14.0,36.0,0.0,0.0,74,2020-06-04
Hydro,279.0,35.0,68.0,103.0,20.0,505,2020-06-04
"RES (Wind, Solar, Biomass & Others)",58.0,96.0,226.0,5.0,0.0,384,2020-06-04
Nuclear,28.0,37.0,46.0,0.0,0.0,110,2020-06-04
Total,767.0,1130.0,770.0,522.0,50.0,3240,2020-06-05
"Gas, Naptha & Diesel",27.0,68.0,17.0,0.0,21.0,132,2020-06-05
"RES (Wind, Solar, Biomass & Others)",73.0,108.0,236.0,5.0,0.0,422,2020-06-05
Hydro,284.0,44.0,65.0,110.0,19.0,523,2020-06-05
Lignite,24.0,16.0,38.0,0.0,0.0,77,2020-06-05
Coal,332.0,858.0,369.0,407.0,10.0,1977,2020-06-05
Nuclear,27.0,36.0,46.0,0.0,0.0,110,2020-06-05
Total,797.0,1155.0,751.0,538.0,59.0,3300,2020-06-07
Nuclear,27.0,37.0,47.0,0.0,0.0,111,2020-06-07
"RES (Wind, Solar, Biomass & Others)",82.0,98.0,272.0,5.0,0.0,457,2020-06-07
"Gas, Naptha & Diesel",30.0,76.0,16.0,0.0,27.0,149,2020-06-07
Hydro,286.0,41.0,60.0,119.0,22.0,529,2020-06-07
Lignite,26.0,14.0,36.0,0.0,0.0,76,2020-06-07
Coal,346.0,888.0,320.0,414.0,10.0,1978,2020-06-07
Coal,378.0,956.0,330.0,463.0,11.0,2138,2020-06-08
Lignite,27.0,12.0,41.0,0.0,0.0,81,2020-06-08
Hydro,313.0,57.0,78.0,118.0,21.0,587,2020-06-08
Nuclear,28.0,36.0,46.0,0.0,0.0,111,2020-06-08
"Gas, Naptha & Diesel",30.0,71.0,16.0,0.0,27.0,145,2020-06-08
"RES (Wind, Solar, Biomass & Others)",82.0,98.0,277.0,5.0,0.0,461,2020-06-08
Total,860.0,1230.0,788.0,586.0,59.0,3523,2020-06-08
Nuclear,28.0,36.0,47.0,0.0,0.0,112,2020-06-09
"Gas, Naptha & Diesel",35.0,85.0,16.0,0.0,27.0,164,2020-06-09
Hydro,337.0,68.0,81.0,118.0,19.0,623,2020-06-09
"RES (Wind, Solar, Biomass & Others)",83.0,91.0,279.0,5.0,0.0,458,2020-06-09
Coal,428.0,980.0,350.0,494.0,11.0,2262,2020-06-09
Lignite,28.0,11.0,41.0,0.0,0.0,80,2020-06-09
Total,939.0,1271.0,815.0,616.0,57.0,3698,2020-06-09
"RES (Wind, Solar, Biomass & Others)",92.0,91.0,242.0,5.0,0.0,430,2020-06-11
Total,1027.0,1289.0,743.0,575.0,50.0,3685,2020-06-11
"Gas, Naptha & Diesel",46.0,88.0,17.0,0.0,25.0,175,2020-06-11
Nuclear,27.0,36.0,47.0,0.0,0.0,110,2020-06-11
Hydro,348.0,35.0,61.0,115.0,15.0,575,2020-06-11
Coal,488.0,1027.0,330.0,455.0,10.0,2311,2020-06-11
Lignite,26.0,11.0,46.0,0.0,0.0,83,2020-06-11
Coal,495.0,1022.0,316.0,439.0,10.0,2283,2020-06-12
Lignite,27.0,13.0,43.0,0.0,0.0,83,2020-06-12
Hydro,354.0,39.0,60.0,116.0,17.0,585,2020-06-12
Nuclear,26.0,36.0,45.0,0.0,0.0,107,2020-06-12
"Gas, Naptha & Diesel",57.0,85.0,16.0,0.0,26.0,183,2020-06-12
"RES (Wind, Solar, Biomass & Others)",79.0,77.0,263.0,5.0,0.0,424,2020-06-12
Total,1038.0,1272.0,742.0,560.0,53.0,3665,2020-06-12
Lignite,26.0,13.0,36.0,0.0,0.0,76,2020-06-13
"RES (Wind, Solar, Biomass & Others)",73.0,64.0,278.0,5.0,0.0,420,2020-06-13
"Gas, Naptha & Diesel",56.0,71.0,16.0,0.0,27.0,171,2020-06-13
Nuclear,27.0,36.0,47.0,0.0,0.0,110,2020-06-13
Coal,502.0,1003.0,313.0,419.0,9.0,2246,2020-06-13
Hydro,357.0,36.0,71.0,124.0,22.0,610,2020-06-13
Total,1042.0,1224.0,760.0,548.0,59.0,3633,2020-06-13
Coal,505.0,959.0,294.0,386.0,10.0,2154,2020-06-14
Lignite,26.0,13.0,36.0,0.0,0.0,75,2020-06-14
Nuclear,27.0,36.0,47.0,0.0,0.0,110,2020-06-14
"RES (Wind, Solar, Biomass & Others)",62.0,75.0,302.0,5.0,0.0,444,2020-06-14
Total,1037.0,1191.0,752.0,515.0,55.0,3550,2020-06-14
Hydro,362.0,37.0,56.0,125.0,18.0,598,2020-06-14
"Gas, Naptha & Diesel",54.0,71.0,16.0,0.0,28.0,169,2020-06-14
Total,1111.0,1273.0,796.0,536.0,58.0,3774,2020-06-16
"RES (Wind, Solar, Biomass & Others)",92.0,107.0,287.0,5.0,0.0,491,2020-06-16
Coal,547.0,988.0,328.0,402.0,10.0,2275,2020-06-16
"Gas, Naptha & Diesel",54.0,79.0,17.0,0.0,29.0,178,2020-06-16
Nuclear,26.0,36.0,47.0,0.0,0.0,110,2020-06-16
Hydro,364.0,49.0,76.0,130.0,19.0,638,2020-06-16
Lignite,27.0,14.0,40.0,0.0,0.0,82,2020-06-16
Coal,551.0,961.0,342.0,404.0,10.0,2269,2020-06-17
Total,1136.0,1271.0,794.0,537.0,57.0,3794,2020-06-17
"RES (Wind, Solar, Biomass & Others)",117.0,123.0,269.0,5.0,0.0,513,2020-06-17
"Gas, Naptha & Diesel",48.0,80.0,17.0,0.0,28.0,173,2020-06-17
Lignite,26.0,12.0,40.0,0.0,0.0,79,2020-06-17
Hydro,367.0,58.0,80.0,128.0,19.0,651,2020-06-17
Nuclear,26.0,36.0,47.0,0.0,0.0,110,2020-06-17
Hydro,369.0,52.0,72.0,125.0,23.0,640,2020-06-18
Coal,564.0,963.0,323.0,413.0,10.0,2273,2020-06-18
Lignite,26.0,12.0,44.0,0.0,0.0,82,2020-06-18
Total,1155.0,1283.0,771.0,542.0,59.0,3810,2020-06-18
"RES (Wind, Solar, Biomass & Others)",121.0,137.0,268.0,5.0,0.0,531,2020-06-18
"Gas, Naptha & Diesel",49.0,83.0,16.0,0.0,26.0,173,2020-06-18
Nuclear,26.0,36.0,47.0,0.0,0.0,109,2020-06-18
Total,1150.0,1288.0,791.0,552.0,62.0,3843,2020-06-19
Hydro,366.0,55.0,82.0,129.0,27.0,658,2020-06-19
"RES (Wind, Solar, Biomass & Others)",123.0,172.0,260.0,5.0,0.0,559,2020-06-19
Nuclear,26.0,36.0,47.0,0.0,0.0,110,2020-06-19
Lignite,27.0,12.0,46.0,0.0,0.0,85,2020-06-19
"Gas, Naptha & Diesel",49.0,76.0,16.0,0.0,25.0,167,2020-06-19
Coal,560.0,936.0,340.0,419.0,10.0,2264,2020-06-19
Lignite,25.0,13.0,48.0,0.0,0.0,85,2020-06-20
Total,1111.0,1270.0,802.0,552.0,62.0,3796,2020-06-20
"RES (Wind, Solar, Biomass & Others)",110.0,163.0,276.0,5.0,0.0,554,2020-06-20
"Gas, Naptha & Diesel",45.0,76.0,16.0,0.0,28.0,166,2020-06-20
Nuclear,30.0,36.0,47.0,0.0,0.0,113,2020-06-20
Hydro,365.0,52.0,75.0,129.0,24.0,644,2020-06-20
Coal,536.0,929.0,339.0,419.0,10.0,2233,2020-06-20
"RES (Wind, Solar, Biomass & Others)",85.0,132.0,270.0,5.0,0.0,491,2020-06-21
Coal,499.0,916.0,323.0,398.0,10.0,2146,2020-06-21
Total,1040.0,1228.0,767.0,534.0,61.0,3630,2020-06-21
